,survey_id,survey_date,survey_name,question_description,response_total,response_1_text,response_1_percent,response_2_text,response_2_percent,response_3_text,response_3_percent,response_4_text,response_4_percent,response_5_text,response_5_percent,response_6_text,response_6_percent,response_7_text,response_7_percent
0,1968,2019-05-01,MBTA Customer Opinion Panel,How would you rate your most recent trip?,1044,Extremely Dissatisfied,0.0668,Very Dissatisfied,0.0668,Somewhat Dissatisfied,0.0822,Neutral,0.0971,Somewhat Satisfied,0.1466,Very Satisfied,0.4206,Extremely Satisfied,0.1141
1,1969,2019-05-01,MBTA Customer Opinion Panel,How satisfied are you with the MBTA's communication overall?,1086,Extremely Dissatisfied,0.0524,Very Dissatisfied,0.0524,Somewhat Dissatisfied,0.1277,Neutral,0.1323999999,Somewhat Satisfied,0.2262,Very Satisfied,0.3032,Extremely Satisfied,0.0514
2,1970,2019-05-01,MBTA Customer Opinion Panel,How would you rate the mbta overall?,1087,Extremely Dissatisfied,0.0651,Very Dissatisfied,0.0651,Somewhat Dissatisfied,0.127,Neutral,0.0928,Somewhat Satisfied,0.2294,Very Satisfied,0.338,Extremely Satisfied,0.0519
3,1971,2019-05-01,MBTA Customer Opinion Panel,The mbta provides reliable public transportation services.,1068,Strongly Disagree,0.1081,Disagree,0.1081,Slightly Disagree,0.1646,Neither Agree nor Disagree,0.0965,Slightly Agree,0.2576999999,Agree,0.2099,Strongly Agree,0.0376
0,500,2018-01-01,MBTA Customer Opinion Panel,How would you rate the mbta overall?,895,Extremely Dissatisfied,0.0922,Very Dissatisfied,0.0922,Somewhat Dissatisfied,0.1379,Neutral,0.082,Somewhat Satisfied,0.2062,Very Satisfied,0.292,Extremely Satisfied,0.0452
1,501,2018-01-01,MBTA Customer Opinion Panel,How would you rate your most recent trip?,886,Extremely Dissatisfied,0.1247,Very Dissatisfied,0.1247,Somewhat Dissatisfied,0.1027,Neutral,0.1025,Somewhat Satisfied,0.1444,Very Satisfied,0.3455,Extremely Satisfied,0.0878
2,502,2018-01-01,MBTA Customer Opinion Panel,How likely are you to continue using the mbta in the future?,884,Extremely Unlikely,0.0111,Very Unlikely,0.0111,Somewhat Unlikely,0.0171,Neither Likely nor Unlikely,0.0373,Somewhat Likely,0.0666,Very Likely,0.2036,Extremely Likely,0.654
3,503,2018-01-01,MBTA Customer Opinion Panel,How likely are you to recommend the mbta to a friend or colleague?,883,Extremely Unlikely,0.0944,Very Unlikely,0.0944,Somewhat Unlikely,0.0764,Neither Likely nor Unlikely,0.1516,Somewhat Likely,0.1811,Very Likely,0.1946,Extremely Likely,0.2432
4,504,2018-01-01,MBTA Customer Opinion Panel,The mbta provides reliable public transportation services.,883,Strongly Disagree,0.2048,Disagree,0.2048,Slightly Disagree,0.1567,Neither Agree nor Disagree,0.1157,Slightly Agree,0.2078,Agree,0.1688,Strongly Agree,0.0245
5,505,2018-01-01,MBTA Customer Opinion Panel,The mbta is a cost-conscious organization.,880,Strongly Disagree,0.1712,Disagree,0.1712,Slightly Disagree,0.1343,Neither Agree nor Disagree,0.2137,Slightly Agree,0.1769,Agree,0.1535,Strongly Agree,0.0292
6,506,2018-01-01,MBTA Customer Opinion Panel,The mbta uses technology to meet the needs and demands of its riders.,883,Strongly Disagree,0.1082,Disagree,0.1082,Slightly Disagree,0.1244,Neither Agree nor Disagree,0.166,Slightly Agree,0.2495,Agree,0.1823,Strongly Agree,0.0394
7,507,2018-01-01,MBTA Customer Opinion Panel,The mbta is a good value for the money.,883,Strongly Disagree,0.1138,Disagree,0.1138,Slightly Disagree,0.1057,Neither Agree nor Disagree,0.159,Slightly Agree,0.184,Agree,0.2333,Strongly Agree,0.1042
8,508,2018-01-01,MBTA Customer Opinion Panel,The mbta has a fleet of trains and buses that are clean and well maintained.,882,Strongly Disagree,0.1873,Disagree,0.1873,Slightly Disagree,0.1473,Neither Agree nor Disagree,0.1433,Slightly Agree,0.1832,Agree,0.1406,Strongly Agree,0.0234
9,509,2018-01-01,MBTA Customer Opinion Panel,Wait time at stop,884,Unacceptable,0.1226,Very Poor,0.1226,Poor,0.1141,Fair,0.109,Good,0.0769,Very Good,0.2979,Excellent,0.1932
10,510,2018-01-01,MBTA Customer Opinion Panel,Stop condition &amp; cleanliness,869,Unacceptable,0.0549,Very Poor,0.0549,Poor,0.1156,Fair,0.191,Good,0.1162,Very Good,0.3234,Excellent,0.114
11,511,2018-01-01,MBTA Customer Opinion Panel,Vehicle crowdedness,883,Unacceptable,0.1177,Very Poor,0.1177,Poor,0.0965,Fair,0.1258,Good,0.1151,Very Good,0.2976,Excellent,0.1626
12,512,2018-01-01,MBTA Customer Opinion Panel,Vehicle cleanliness,879,Unacceptable,0.0456,Very Poor,0.0456,Poor,0.0894,Fair,0.2025,Good,0.1426,Very Good,0.3601,Excellent,0.0931
13,513,2018-01-01,MBTA Customer Opinion Panel,Speed/travel time,885,Unacceptable,0.1114,Very Poor,0.1114,Poor,0.1009,Fair,0.1355,Good,0.1438,Very Good,0.2961,Excellent,0.1357
14,514,2018-01-01,MBTA Customer Opinion Panel,Parking availability,278,Unacceptable,0.1255,Very Poor,0.1255,Poor,0.0482,Fair,0.239,Good,0.0778,Very Good,0.2943,Excellent,0.1293
15,515,2018-01-01,MBTA Customer Opinion Panel,Real-time communications,833,Unacceptable,0.1352,Very Poor,0.1352,Poor,0.0921,Fair,0.1449,Good,0.1278,Very Good,0.3034,Excellent,0.0924
16,516,2018-01-01,MBTA Customer Opinion Panel,How satisfied are you with the MBTA's communication overall?,895,Extremely Dissatisfied,0.0914,Very Dissatisfied,0.0914,Somewhat Dissatisfied,0.1425,Neutral,0.1344,Somewhat Satisfied,0.2216,Very Satisfied,0.246,Extremely Satisfied,0.0454
17,517,2018-01-01,MBTA Customer Opinion Panel,,886,Extremely Dissatisfied,0.1247,Very Dissatisfied,0.1247,Somewhat Dissatisfied,0.1027,Neutral,0.1025,Somewhat Satisfied,0.1444,Very Satisfied,0.3455,Extremely Satisfied,0.0878
18,1110,2018-01-01,MBTA Customer Opinion Panel,How would you rate the mbta overall?,895,Extremely Dissatisfied,0.0922,Very Dissatisfied,0.0922,Somewhat Dissatisfied,0.1379,Neutral,0.082,Somewhat Satisfied,0.2062,Very Satisfied,0.292,Extremely Satisfied,0.0452
19,1111,2018-01-01,MBTA Customer Opinion Panel,How would you rate your most recent trip?,886,Extremely Dissatisfied,0.1247,Very Dissatisfied,0.1247,Somewhat Dissatisfied,0.1027,Neutral,0.1025,Somewhat Satisfied,0.1444,Very Satisfied,0.3455,Extremely Satisfied,0.0878
20,1112,2018-01-01,MBTA Customer Opinion Panel,How likely are you to continue using the mbta in the future?,884,Extremely Unlikely,0.0111,Very Unlikely,0.0111,Somewhat Unlikely,0.0171,Neither Likely nor Unlikely,0.0373,Somewhat Likely,0.0666,Very Likely,0.2036,Extremely Likely,0.654
21,1113,2018-01-01,MBTA Customer Opinion Panel,How likely are you to recommend the mbta to a friend or colleague?,883,Extremely Unlikely,0.0944,Very Unlikely,0.0944,Somewhat Unlikely,0.0764,Neither Likely nor Unlikely,0.1516,Somewhat Likely,0.1811,Very Likely,0.1946,Extremely Likely,0.2432
