survey_id,survey_date,survey_name,question_description,response_total,response_1_text,response_1_percent,response_2_text,response_2_percent,response_3_text,response_3_percent,response_4_text,response_4_percent,response_5_text,response_5_percent,response_6_text,response_6_percent,response_7_text,response_7_percent
93,2016-06-01,"MBTA Customer Opinion Panel","How would you rate the mbta overall?",503,"Extremely Dissatisfied",.0326000000,"Very Dissatisfied",.0326000000,"Somewhat Dissatisfied",.1719000000,Neutral,.1002000000,"Somewhat Satisfied",.3283000000,"Very Satisfied",.2428000000,"Extremely Satisfied",.0303000000
94,2016-06-01,"MBTA Customer Opinion Panel","How would you rate your most recent trip?",491,"Extremely Dissatisfied",.0695000000,"Very Dissatisfied",.0695000000,"Somewhat Dissatisfied",.1308999999,Neutral,.1090000000,"Somewhat Satisfied",.2294000000,"Very Satisfied",.3490000000,"Extremely Satisfied",.0594000000
95,2016-06-01,"MBTA Customer Opinion Panel","How likely are you to continue using the mbta in the future?",491,"Extremely Unlikely",.0072000000,"Very Unlikely",.0072000000,"Somewhat Unlikely",.0102000000,"Neither Likely nor Unlikely",.0279000000,"Somewhat Likely",.0722000000,"Very Likely",.3032000000,"Extremely Likely",.5749000000
96,2016-06-01,"MBTA Customer Opinion Panel","How likely are you to recommend the mbta to a friend or colleague?",483,"Extremely Unlikely",.0627000000,"Very Unlikely",.0627000000,"Somewhat Unlikely",.0636000000,"Neither Likely nor Unlikely",.1980000000,"Somewhat Likely",.1864000000,"Very Likely",.2157000000,"Extremely Likely",.2204000000
97,2016-06-01,"MBTA Customer Opinion Panel","The mbta provides reliable public transportation services.",482,"Strongly Disagree",.1322000000,Disagree,.1322000000,"Slightly Disagree",.1301000000,"Neither Agree nor Disagree",.0928000000,"Slightly Agree",.2245000000,Agree,.2472000000,"Strongly Agree",.0233000000
98,2016-06-01,"MBTA Customer Opinion Panel","The mbta is a cost-conscious organization.",482,"Strongly Disagree",.2206000000,Disagree,.2206000000,"Slightly Disagree",.1303000000,"Neither Agree nor Disagree",.2038000000,"Slightly Agree",.1133000000,Agree,.1262000000,"Strongly Agree",.0143000000
99,2016-06-01,"MBTA Customer Opinion Panel","The mbta uses technology to meet the needs and demands of its riders.",482,"Strongly Disagree",.0932000000,Disagree,.0932000000,"Slightly Disagree",.0913000000,"Neither Agree nor Disagree",.1403000000,"Slightly Agree",.2493000000,Agree,.2847000000,"Strongly Agree",.0372000000
100,2016-06-01,"MBTA Customer Opinion Panel","The mbta is a good value for the money.",483,"Strongly Disagree",.0920000000,Disagree,.0920000000,"Slightly Disagree",.1088000000,"Neither Agree nor Disagree",.1492000000,"Slightly Agree",.1634000000,Agree,.2942000000,"Strongly Agree",.0824000000
101,2016-06-01,"MBTA Customer Opinion Panel","The mbta has a fleet of trains and buses that are clean and well maintained.",482,"Strongly Disagree",.1461000000,Disagree,.1461000000,"Slightly Disagree",.1864000000,"Neither Agree nor Disagree",.1184000000,"Slightly Agree",.2217000000,Agree,.1550000000,"Strongly Agree",.0198000000
102,2016-06-01,"MBTA Customer Opinion Panel","Wait time at stop",490,Unacceptable,.0716000000,"Very Poor",.0716000000,Poor,.0651999999,Fair,.1835000000,Good,.2304000000,"Very Good",.1844000000,Excellent,.2226000000
