survey_id,survey_date,survey_name,question_description,response_total,response_1_text,response_1_percent,response_2_text,response_2_percent,response_3_text,response_3_percent,response_4_text,response_4_percent,response_5_text,response_5_percent,response_6_text,response_6_percent,response_7_text,response_7_percent
116,2016-07-01,"MBTA Customer Opinion Panel","How would you rate the mbta overall?",436,"Extremely Dissatisfied",.0428000000,"Very Dissatisfied",.0428000000,"Somewhat Dissatisfied",.1230000000,Neutral,.1083000000,"Somewhat Satisfied",.3790000000,"Very Satisfied",.2378000000,"Extremely Satisfied",.0377000000
117,2016-07-01,"MBTA Customer Opinion Panel","How would you rate your most recent trip?",421,"Extremely Dissatisfied",.0422000000,"Very Dissatisfied",.0422000000,"Somewhat Dissatisfied",.0839000000,Neutral,.1411000000,"Somewhat Satisfied",.2419000000,"Very Satisfied",.3533000000,"Extremely Satisfied",.0646999999
118,2016-07-01,"MBTA Customer Opinion Panel","How likely are you to continue using the mbta in the future?",421,"Extremely Unlikely",.0065000000,"Very Unlikely",.0065000000,"Somewhat Unlikely",.0082000000,"Neither Likely nor Unlikely",.0291000000,"Somewhat Likely",.0911000000,"Very Likely",.2860000000,"Extremely Likely",.5731000000
119,2016-07-01,"MBTA Customer Opinion Panel","How likely are you to recommend the mbta to a friend or colleague?",416,"Extremely Unlikely",.0736000000,"Very Unlikely",.0736000000,"Somewhat Unlikely",.0844000000,"Neither Likely nor Unlikely",.1481000000,"Somewhat Likely",.2112000000,"Very Likely",.2076000000,"Extremely Likely",.2402000000
120,2016-07-01,"MBTA Customer Opinion Panel","The mbta provides reliable public transportation services.",416,"Strongly Disagree",.1085000000,Disagree,.1085000000,"Slightly Disagree",.1599000000,"Neither Agree nor Disagree",.1020000000,"Slightly Agree",.2626000000,Agree,.2095000000,"Strongly Agree",.0261000000
121,2016-07-01,"MBTA Customer Opinion Panel","The mbta is a cost-conscious organization.",414,"Strongly Disagree",.2125000000,Disagree,.2125000000,"Slightly Disagree",.1864000000,"Neither Agree nor Disagree",.1639000000,"Slightly Agree",.1152000000,Agree,.1252000000,"Strongly Agree",.0330000000
122,2016-07-01,"MBTA Customer Opinion Panel","The mbta uses technology to meet the needs and demands of its riders.",416,"Strongly Disagree",.0911000000,Disagree,.0911000000,"Slightly Disagree",.1114000000,"Neither Agree nor Disagree",.1784000000,"Slightly Agree",.2878000000,Agree,.2216000000,"Strongly Agree",.0433000000
123,2016-07-01,"MBTA Customer Opinion Panel","The mbta is a good value for the money.",416,"Strongly Disagree",.0802000000,Disagree,.0802000000,"Slightly Disagree",.1243000000,"Neither Agree nor Disagree",.1440000000,"Slightly Agree",.1997000000,Agree,.2314000000,"Strongly Agree",.1004000000
124,2016-07-01,"MBTA Customer Opinion Panel","The mbta has a fleet of trains and buses that are clean and well maintained.",416,"Strongly Disagree",.1514000000,Disagree,.1514000000,"Slightly Disagree",.2162000000,"Neither Agree nor Disagree",.1423000000,"Slightly Agree",.2021000000,Agree,.1422000000,"Strongly Agree",.0134000000
125,2016-07-01,"MBTA Customer Opinion Panel","Wait time at stop",420,Unacceptable,.0583000000,"Very Poor",.0583000000,Poor,.0622000000,Fair,.1732000000,Good,.2472000000,"Very Good",.2306000000,Excellent,.2122000000
