survey_id,survey_date,survey_name,question_description,response_total,response_1_text,response_1_percent,response_2_text,response_2_percent,response_3_text,response_3_percent,response_4_text,response_4_percent,response_5_text,response_5_percent,response_6_text,response_6_percent,response_7_text,response_7_percent
139,2016-08-01,"MBTA Customer Opinion Panel","How would you rate the mbta overall?",419,"Extremely Dissatisfied",.0361000000,"Very Dissatisfied",.0361000000,"Somewhat Dissatisfied",.1796000000,Neutral,.0775000000,"Somewhat Satisfied",.3437000000,"Very Satisfied",.2693000000,"Extremely Satisfied",.0353000000
140,2016-08-01,"MBTA Customer Opinion Panel","How would you rate your most recent trip?",411,"Extremely Dissatisfied",.0433000000,"Very Dissatisfied",.0433000000,"Somewhat Dissatisfied",.1150000000,Neutral,.1278000000,"Somewhat Satisfied",.2211000000,"Very Satisfied",.3894000000,"Extremely Satisfied",.0693000000
141,2016-08-01,"MBTA Customer Opinion Panel","How likely are you to continue using the mbta in the future?",411,"Extremely Unlikely",.0181000000,"Very Unlikely",.0181000000,"Somewhat Unlikely",.0036000000,"Neither Likely nor Unlikely",.0272000000,"Somewhat Likely",.0453000000,"Very Likely",.2918000000,"Extremely Likely",.6072000000
142,2016-08-01,"MBTA Customer Opinion Panel","How likely are you to recommend the mbta to a friend or colleague?",410,"Extremely Unlikely",.0568000000,"Very Unlikely",.0568000000,"Somewhat Unlikely",.0646000000,"Neither Likely nor Unlikely",.1269000000,"Somewhat Likely",.2098000000,"Very Likely",.2656000000,"Extremely Likely",.2204000000
143,2016-08-01,"MBTA Customer Opinion Panel","The mbta provides reliable public transportation services.",409,"Strongly Disagree",.1348000000,Disagree,.1348000000,"Slightly Disagree",.1549000000,"Neither Agree nor Disagree",.1086000000,"Slightly Agree",.2291000000,Agree,.2123000000,"Strongly Agree",.0648000000
144,2016-08-01,"MBTA Customer Opinion Panel","The mbta is a cost-conscious organization.",409,"Strongly Disagree",.1747000000,Disagree,.1747000000,"Slightly Disagree",.1342000000,"Neither Agree nor Disagree",.2330000000,"Slightly Agree",.1219000000,Agree,.1045000000,"Strongly Agree",.0408000000
145,2016-08-01,"MBTA Customer Opinion Panel","The mbta uses technology to meet the needs and demands of its riders.",409,"Strongly Disagree",.0827000000,Disagree,.0827000000,"Slightly Disagree",.1418000000,"Neither Agree nor Disagree",.1107000000,"Slightly Agree",.2349000000,Agree,.2879000000,"Strongly Agree",.0462000000
146,2016-08-01,"MBTA Customer Opinion Panel","The mbta is a good value for the money.",409,"Strongly Disagree",.0991000000,Disagree,.0991000000,"Slightly Disagree",.1219000000,"Neither Agree nor Disagree",.1157000000,"Slightly Agree",.1844000000,Agree,.2572999999,"Strongly Agree",.1193000000
147,2016-08-01,"MBTA Customer Opinion Panel","The mbta has a fleet of trains and buses that are clean and well maintained.",409,"Strongly Disagree",.1559000000,Disagree,.1559000000,"Slightly Disagree",.1892000000,"Neither Agree nor Disagree",.1335000000,"Slightly Agree",.2143000000,Agree,.1529000000,"Strongly Agree",.0218000000
148,2016-08-01,"MBTA Customer Opinion Panel","Wait time at stop",405,Unacceptable,.0516000000,"Very Poor",.0516000000,Poor,.0672000000,Fair,.1685000000,Good,.2486000000,"Very Good",.2321000000,Excellent,.2091000000
149,2016-08-01,"MBTA Customer Opinion Panel","Stop condition &amp; cleanliness",408,Unacceptable,.0205000000,"Very Poor",.0205000000,Poor,.0719000000,Fair,.1738000000,Good,.3236000000,"Very Good",.2479000000,Excellent,.1292000000
150,2016-08-01,"MBTA Customer Opinion Panel","Vehicle crowdedness",409,Unacceptable,.0460000000,"Very Poor",.0460000000,Poor,.1190000000,Fair,.1798000000,Good,.2290000000,"Very Good",.2130000000,Excellent,.1620000000
151,2016-08-01,"MBTA Customer Opinion Panel","Vehicle cleanliness",410,Unacceptable,.0117000000,"Very Poor",.0117000000,Poor,.0646999999,Fair,.2378000000,Good,.2845000000,"Very Good",.2318000000,Excellent,.1348000000
152,2016-08-01,"MBTA Customer Opinion Panel","Speed/travel time",411,Unacceptable,.0395000000,"Very Poor",.0395000000,Poor,.0706000000,Fair,.2037000000,Good,.2796000000,"Very Good",.2296000000,Excellent,.1394000000
153,2016-08-01,"MBTA Customer Opinion Panel","Parking availability",147,Unacceptable,.0641000000,"Very Poor",.0641000000,Poor,.0358000000,Fair,.1943000000,Good,.2279000000,"Very Good",.1660000000,Excellent,.2207000000
154,2016-08-01,"MBTA Customer Opinion Panel","Real-time communications",326,Unacceptable,.0292000000,"Very Poor",.0292000000,Poor,.0637000000,Fair,.1997000000,Good,.2620000000,"Very Good",.1963000000,Excellent,.1611000000
155,2016-08-01,"MBTA Customer Opinion Panel","Mbta website",353,"Extremely Dissatisfied",.0126000000,"Very Dissatisfied",.0126000000,"Somewhat Dissatisfied",.0741000000,Neutral,.1866000000,"Somewhat Satisfied",.2958000000,"Very Satisfied",.3114000000,"Extremely Satisfied",.0947000000
156,2016-08-01,"MBTA Customer Opinion Panel","Real time arrival signage (countdown timers)",373,"Extremely Dissatisfied",.0330000000,"Very Dissatisfied",.0330000000,"Somewhat Dissatisfied",.0908000000,Neutral,.0950000000,"Somewhat Satisfied",.1922000000,"Very Satisfied",.3284000000,"Extremely Satisfied",.2258000000
157,2016-08-01,"MBTA Customer Opinion Panel","In-station announcements",371,"Extremely Dissatisfied",.0451000000,"Very Dissatisfied",.0451000000,"Somewhat Dissatisfied",.1117000000,Neutral,.2013000000,"Somewhat Satisfied",.2880000000,"Very Satisfied",.2144000000,"Extremely Satisfied",.0767000000
158,2016-08-01,"MBTA Customer Opinion Panel","On-vehicle announcements",391,"Extremely Dissatisfied",.0651000000,"Very Dissatisfied",.0651000000,"Somewhat Dissatisfied",.2176000000,Neutral,.2072000000,"Somewhat Satisfied",.1991000000,"Very Satisfied",.1735000000,"Extremely Satisfied",.0623000000
159,2016-08-01,"MBTA Customer Opinion Panel",T-alerts,358,"Extremely Dissatisfied",.0331000000,"Very Dissatisfied",.0331000000,"Somewhat Dissatisfied",.0964000000,Neutral,.2375000000,"Somewhat Satisfied",.2566000000,"Very Satisfied",.2388000000,"Extremely Satisfied",.0934000000
160,2016-08-01,"MBTA Customer Opinion Panel","Real-time mobile apps (e.g. nextbus)",258,"Extremely Dissatisfied",.0341000000,"Very Dissatisfied",.0341000000,"Somewhat Dissatisfied",.0763000000,Neutral,.1283000000,"Somewhat Satisfied",.2387000000,"Very Satisfied",.3175000000,"Extremely Satisfied",.1633000000
