survey_id,survey_date,survey_name,question_description,response_total,response_1_text,response_1_percent,response_2_text,response_2_percent,response_3_text,response_3_percent,response_4_text,response_4_percent,response_5_text,response_5_percent,response_6_text,response_6_percent,response_7_text,response_7_percent
185,2016-10-01,"MBTA Customer Opinion Panel","How would you rate the mbta overall?",392,"Extremely Dissatisfied",.0243000000,"Very Dissatisfied",.0243000000,"Somewhat Dissatisfied",.1420000000,Neutral,.0906000000,"Somewhat Satisfied",.3565000000,"Very Satisfied",.2714000000,"Extremely Satisfied",.0291000000
186,2016-10-01,"MBTA Customer Opinion Panel","How would you rate your most recent trip?",387,"Extremely Dissatisfied",.0362000000,"Very Dissatisfied",.0362000000,"Somewhat Dissatisfied",.1091000000,Neutral,.1235000000,"Somewhat Satisfied",.2567999999,"Very Satisfied",.3160000000,"Extremely Satisfied",.0904000000
187,2016-10-01,"MBTA Customer Opinion Panel","How likely are you to continue using the mbta in the future?",387,"Extremely Unlikely",.0053000000,"Very Unlikely",.0053000000,"Somewhat Unlikely",.0095000000,"Neither Likely nor Unlikely",.0282000000,"Somewhat Likely",.0531000000,"Very Likely",.2834000000,"Extremely Likely",.6153000000
188,2016-10-01,"MBTA Customer Opinion Panel","How likely are you to recommend the mbta to a friend or colleague?",384,"Extremely Unlikely",.0494000000,"Very Unlikely",.0494000000,"Somewhat Unlikely",.0487000000,"Neither Likely nor Unlikely",.1893000000,"Somewhat Likely",.2290000000,"Very Likely",.2068000000,"Extremely Likely",.2390000000
189,2016-10-01,"MBTA Customer Opinion Panel","The mbta provides reliable public transportation services.",382,"Strongly Disagree",.1101000000,Disagree,.1101000000,"Slightly Disagree",.1638000000,"Neither Agree nor Disagree",.0756000000,"Slightly Agree",.2973000000,Agree,.1804000000,"Strongly Agree",.0445000000
190,2016-10-01,"MBTA Customer Opinion Panel","The mbta is a cost-conscious organization.",382,"Strongly Disagree",.1735000000,Disagree,.1735000000,"Slightly Disagree",.1394000000,"Neither Agree nor Disagree",.2189000000,"Slightly Agree",.1533000000,Agree,.1163000000,"Strongly Agree",.0286000000
191,2016-10-01,"MBTA Customer Opinion Panel","The mbta uses technology to meet the needs and demands of its riders.",381,"Strongly Disagree",.0513000000,Disagree,.0513000000,"Slightly Disagree",.1421000000,"Neither Agree nor Disagree",.1183000000,"Slightly Agree",.2611000000,Agree,.2647000000,"Strongly Agree",.0466000000
192,2016-10-01,"MBTA Customer Opinion Panel","The mbta is a good value for the money.",382,"Strongly Disagree",.0839000000,Disagree,.0839000000,"Slightly Disagree",.1121000000,"Neither Agree nor Disagree",.1313000000,"Slightly Agree",.2124000000,Agree,.2597999999,"Strongly Agree",.1127000000
193,2016-10-01,"MBTA Customer Opinion Panel","The mbta has a fleet of trains and buses that are clean and well maintained.",382,"Strongly Disagree",.0925000000,Disagree,.0925000000,"Slightly Disagree",.2003000000,"Neither Agree nor Disagree",.1345000000,"Slightly Agree",.2252000000,Agree,.1194000000,"Strongly Agree",.0252000000
194,2016-10-01,"MBTA Customer Opinion Panel","Wait time at stop",383,Unacceptable,.0525000000,"Very Poor",.0525000000,Poor,.0660000000,Fair,.1816000000,Good,.2474000000,"Very Good",.1849000000,Excellent,.2397000000
