survey_id,survey_date,survey_name,question_description,response_total,response_1_text,response_1_percent,response_2_text,response_2_percent,response_3_text,response_3_percent,response_4_text,response_4_percent,response_5_text,response_5_percent,response_6_text,response_6_percent,response_7_text,response_7_percent
254,2017-01-01,"MBTA Customer Opinion Panel","How would you rate the mbta overall?",380,"Extremely Dissatisfied",.0217000000,"Very Dissatisfied",.0217000000,"Somewhat Dissatisfied",.1262000000,Neutral,.0933000000,"Somewhat Satisfied",.3825000000,"Very Satisfied",.2581000000,"Extremely Satisfied",.0492000000
255,2017-01-01,"MBTA Customer Opinion Panel","How would you rate your most recent trip?",377,"Extremely Dissatisfied",.0243000000,"Very Dissatisfied",.0243000000,"Somewhat Dissatisfied",.0836000000,Neutral,.0873000000,"Somewhat Satisfied",.2572999999,"Very Satisfied",.3952000000,"Extremely Satisfied",.1091000000
256,2017-01-01,"MBTA Customer Opinion Panel","How likely are you to continue using the mbta in the future?",377,"Extremely Unlikely",.0074000000,"Very Unlikely",.0074000000,"Somewhat Unlikely",.0087000000,"Neither Likely nor Unlikely",.0146000000,"Somewhat Likely",.0632999999,"Very Likely",.2436000000,"Extremely Likely",.6525000000
257,2017-01-01,"MBTA Customer Opinion Panel","How likely are you to recommend the mbta to a friend or colleague?",375,"Extremely Unlikely",.0419000000,"Very Unlikely",.0419000000,"Somewhat Unlikely",.0489000000,"Neither Likely nor Unlikely",.1452000000,"Somewhat Likely",.2321000000,"Very Likely",.1994000000,"Extremely Likely",.3129000000
258,2017-01-01,"MBTA Customer Opinion Panel","The mbta provides reliable public transportation services.",374,"Strongly Disagree",.1115000000,Disagree,.1115000000,"Slightly Disagree",.1442000000,"Neither Agree nor Disagree",.1171000000,"Slightly Agree",.2139000000,Agree,.2419000000,"Strongly Agree",.0701000000
259,2017-01-01,"MBTA Customer Opinion Panel","The mbta is a cost-conscious organization.",375,"Strongly Disagree",.1409000000,Disagree,.1409000000,"Slightly Disagree",.0997000000,"Neither Agree nor Disagree",.2743000000,"Slightly Agree",.1609000000,Agree,.1392000000,"Strongly Agree",.0473000000
260,2017-01-01,"MBTA Customer Opinion Panel","The mbta uses technology to meet the needs and demands of its riders.",374,"Strongly Disagree",.0622000000,Disagree,.0622000000,"Slightly Disagree",.0937000000,"Neither Agree nor Disagree",.1360000000,"Slightly Agree",.2712000000,Agree,.2642000000,"Strongly Agree",.0688000000
261,2017-01-01,"MBTA Customer Opinion Panel","The mbta is a good value for the money.",376,"Strongly Disagree",.0532000000,Disagree,.0532000000,"Slightly Disagree",.1105000000,"Neither Agree nor Disagree",.1235000000,"Slightly Agree",.2153000000,Agree,.2616000000,"Strongly Agree",.1609000000
262,2017-01-01,"MBTA Customer Opinion Panel","The mbta has a fleet of trains and buses that are clean and well maintained.",374,"Strongly Disagree",.1670000000,Disagree,.1670000000,"Slightly Disagree",.1474000000,"Neither Agree nor Disagree",.1023000000,"Slightly Agree",.2474000000,Agree,.1586000000,"Strongly Agree",.0284000000
263,2017-01-01,"MBTA Customer Opinion Panel","Wait time at stop",372,Unacceptable,.0099000000,"Very Poor",.0099000000,Poor,.0707000000,Fair,.1441000000,Good,.2238000000,"Very Good",.2509000000,Excellent,.2872000000
