survey_id,survey_date,survey_name,question_description,response_total,response_1_text,response_1_percent,response_2_text,response_2_percent,response_3_text,response_3_percent,response_4_text,response_4_percent,response_5_text,response_5_percent,response_6_text,response_6_percent,response_7_text,response_7_percent
346,2017-05-01,"MBTA Customer Opinion Panel","How would you rate the mbta overall?",309,"Extremely Dissatisfied",.0211000000,"Very Dissatisfied",.0211000000,"Somewhat Dissatisfied",.1775000000,Neutral,.1303999999,"Somewhat Satisfied",.2868000000,"Very Satisfied",.2637000000,"Extremely Satisfied",.0722000000
347,2017-05-01,"MBTA Customer Opinion Panel","How would you rate your most recent trip?",303,"Extremely Dissatisfied",.0440000000,"Very Dissatisfied",.0440000000,"Somewhat Dissatisfied",.0876000000,Neutral,.1258000000,"Somewhat Satisfied",.2154000000,"Very Satisfied",.3656000000,"Extremely Satisfied",.1051000000
348,2017-05-01,"MBTA Customer Opinion Panel","How likely are you to continue using the mbta in the future?",302,"Extremely Unlikely",.0187000000,"Very Unlikely",.0187000000,"Somewhat Unlikely",.0172000000,"Neither Likely nor Unlikely",.0412000000,"Somewhat Likely",.0636000000,"Very Likely",.2753000000,"Extremely Likely",.5790000000
349,2017-05-01,"MBTA Customer Opinion Panel","How likely are you to recommend the mbta to a friend or colleague?",302,"Extremely Unlikely",.0563000000,"Very Unlikely",.0563000000,"Somewhat Unlikely",.0616000000,"Neither Likely nor Unlikely",.1280999999,"Somewhat Likely",.1767000000,"Very Likely",.2174000000,"Extremely Likely",.3132000000
350,2017-05-01,"MBTA Customer Opinion Panel","The mbta provides reliable public transportation services.",301,"Strongly Disagree",.1282000000,Disagree,.1282000000,"Slightly Disagree",.1345000000,"Neither Agree nor Disagree",.0690000000,"Slightly Agree",.2258000000,Agree,.2846000000,"Strongly Agree",.0651999999
351,2017-05-01,"MBTA Customer Opinion Panel","The mbta is a cost-conscious organization.",301,"Strongly Disagree",.1549000000,Disagree,.1549000000,"Slightly Disagree",.1345000000,"Neither Agree nor Disagree",.2434000000,"Slightly Agree",.1344000000,Agree,.1956000000,"Strongly Agree",.0378000000
352,2017-05-01,"MBTA Customer Opinion Panel","The mbta uses technology to meet the needs and demands of its riders.",302,"Strongly Disagree",.0878000000,Disagree,.0878000000,"Slightly Disagree",.0927000000,"Neither Agree nor Disagree",.1377000000,"Slightly Agree",.2141000000,Agree,.3277000000,"Strongly Agree",.0730000000
353,2017-05-01,"MBTA Customer Opinion Panel","The mbta is a good value for the money.",302,"Strongly Disagree",.0692000000,Disagree,.0692000000,"Slightly Disagree",.1093000000,"Neither Agree nor Disagree",.1343000000,"Slightly Agree",.1683000000,Agree,.2544000000,"Strongly Agree",.1606000000
354,2017-05-01,"MBTA Customer Opinion Panel","The mbta has a fleet of trains and buses that are clean and well maintained.",302,"Strongly Disagree",.1361000000,Disagree,.1361000000,"Slightly Disagree",.1593000000,"Neither Agree nor Disagree",.0833000000,"Slightly Agree",.2321000000,Agree,.1985000000,"Strongly Agree",.0425000000
355,2017-05-01,"MBTA Customer Opinion Panel","Wait time at stop",301,Unacceptable,.0617000000,"Very Poor",.0617000000,Poor,.0260000000,Fair,.1452000000,Good,.2335000000,"Very Good",.2430000000,Excellent,.2551000000
356,2017-05-01,"MBTA Customer Opinion Panel","Stop condition &amp; cleanliness",302,Unacceptable,.0265000000,"Very Poor",.0265000000,Poor,.0880000000,Fair,.2295000000,Good,.2878000000,"Very Good",.1910000000,Excellent,.1441000000
357,2017-05-01,"MBTA Customer Opinion Panel","Vehicle crowdedness",303,Unacceptable,.0378000000,"Very Poor",.0378000000,Poor,.0919000000,Fair,.1569000000,Good,.3025000000,"Very Good",.2078000000,Excellent,.1618000000
