survey_id,survey_date,survey_name,question_description,response_total,response_1_text,response_1_percent,response_2_text,response_2_percent,response_3_text,response_3_percent,response_4_text,response_4_percent,response_5_text,response_5_percent,response_6_text,response_6_percent,response_7_text,response_7_percent
464,2017-11-01,"MBTA Customer Opinion Panel","How would you rate the mbta overall?",983,"Extremely Dissatisfied",.0530000000,"Very Dissatisfied",.0530000000,"Somewhat Dissatisfied",.1442000000,Neutral,.0942000000,"Somewhat Satisfied",.2257000000,"Very Satisfied",.3242000000,"Extremely Satisfied",.0596000000
465,2017-11-01,"MBTA Customer Opinion Panel","How would you rate your most recent trip?",964,"Extremely Dissatisfied",.0677000000,"Very Dissatisfied",.0677000000,"Somewhat Dissatisfied",.1029000000,Neutral,.1218000000,"Somewhat Satisfied",.1186000000,"Very Satisfied",.3880000000,"Extremely Satisfied",.1069000000
466,2017-11-01,"MBTA Customer Opinion Panel","How likely are you to continue using the mbta in the future?",958,"Extremely Unlikely",.0683000000,"Very Unlikely",.0683000000,"Somewhat Unlikely",.0705000000,"Neither Likely nor Unlikely",.1437000000,"Somewhat Likely",.1885000000,"Very Likely",.2186000000,"Extremely Likely",.2646000000
467,2017-11-01,"MBTA Customer Opinion Panel","How likely are you to recommend the mbta to a friend or colleague?",957,"Extremely Unlikely",.0039000000,"Very Unlikely",.0039000000,"Somewhat Unlikely",.0111000000,"Neither Likely nor Unlikely",.0331000000,"Somewhat Likely",.0454000000,"Very Likely",.2094000000,"Extremely Likely",.6936000000
468,2017-11-01,"MBTA Customer Opinion Panel","The mbta provides reliable public transportation services.",955,"Strongly Disagree",.1507000000,Disagree,.1507000000,"Slightly Disagree",.1617000000,"Neither Agree nor Disagree",.1160000000,"Slightly Agree",.2231000000,Agree,.1772000000,"Strongly Agree",.0513000000
469,2017-11-01,"MBTA Customer Opinion Panel","The mbta is a cost-conscious organization.",955,"Strongly Disagree",.1545000000,Disagree,.1545000000,"Slightly Disagree",.1583000000,"Neither Agree nor Disagree",.2277000000,"Slightly Agree",.1554000000,Agree,.1347000000,"Strongly Agree",.0345000000
470,2017-11-01,"MBTA Customer Opinion Panel","The mbta uses technology to meet the needs and demands of its riders.",956,"Strongly Disagree",.0954000000,Disagree,.0954000000,"Slightly Disagree",.1151000000,"Neither Agree nor Disagree",.1554000000,"Slightly Agree",.2825000000,Agree,.1920000000,"Strongly Agree",.0477000000
471,2017-11-01,"MBTA Customer Opinion Panel","The mbta is a good value for the money.",956,"Strongly Disagree",.0868000000,Disagree,.0868000000,"Slightly Disagree",.1062000000,"Neither Agree nor Disagree",.1466000000,"Slightly Agree",.2170000000,Agree,.2480000000,"Strongly Agree",.1163000000
472,2017-11-01,"MBTA Customer Opinion Panel","The mbta has a fleet of trains and buses that are clean and well maintained.",955,"Strongly Disagree",.1375000000,Disagree,.1375000000,"Slightly Disagree",.1712000000,"Neither Agree nor Disagree",.1478000000,"Slightly Agree",.2349000000,Agree,.1544000000,"Strongly Agree",.0201000000
473,2017-11-01,"MBTA Customer Opinion Panel","Wait time at stop",962,Unacceptable,.0762000000,"Very Poor",.0762000000,Poor,.0914000000,Fair,.1029000000,Good,.1136000000,"Very Good",.3188000000,Excellent,.2193000000
474,2017-11-01,"MBTA Customer Opinion Panel","Stop condition &amp; cleanliness",959,Unacceptable,.0322000000,"Very Poor",.0322000000,Poor,.0954000000,Fair,.1649000000,Good,.1205000000,"Very Good",.4127000000,Excellent,.1181000000
475,2017-11-01,"MBTA Customer Opinion Panel","Vehicle crowdedness",961,Unacceptable,.1171000000,"Very Poor",.1171000000,Poor,.1100000000,Fair,.1044000000,Good,.1092000000,"Very Good",.3350000000,Excellent,.1496000000
476,2017-11-01,"MBTA Customer Opinion Panel","Vehicle cleanliness",957,Unacceptable,.0294000000,"Very Poor",.0294000000,Poor,.0821000000,Fair,.1871000000,Good,.1155000000,"Very Good",.4147000000,Excellent,.1302000000
477,2017-11-01,"MBTA Customer Opinion Panel","Speed/travel time",964,Unacceptable,.0781000000,"Very Poor",.0781000000,Poor,.0965000000,Fair,.1188000000,Good,.1425000000,"Very Good",.3546000000,Excellent,.1307000000
478,2017-11-01,"MBTA Customer Opinion Panel","Parking availability",314,Unacceptable,.0857000000,"Very Poor",.0857000000,Poor,.0500000000,Fair,.2511999999,Good,.1077000000,"Very Good",.2942000000,Excellent,.1649000000
479,2017-11-01,"MBTA Customer Opinion Panel","Real-time communications",904,Unacceptable,.1001000000,"Very Poor",.1001000000,Poor,.1093000000,Fair,.1367000000,Good,.1267000000,"Very Good",.3494000000,Excellent,.1101000000
480,2017-11-01,"MBTA Customer Opinion Panel","How satisfied are you with the MBTA's communication overall?",983,"Extremely Dissatisfied",.0493000000,"Very Dissatisfied",.0493000000,"Somewhat Dissatisfied",.1342000000,Neutral,.1445000000,"Somewhat Satisfied",.2315000000,"Very Satisfied",.2950000000,"Extremely Satisfied",.0414000000
481,2017-11-01,"MBTA Customer Opinion Panel",,964,"Extremely Dissatisfied",.0677000000,"Very Dissatisfied",.0677000000,"Somewhat Dissatisfied",.1029000000,Neutral,.1218000000,"Somewhat Satisfied",.1186000000,"Very Satisfied",.3880000000,"Extremely Satisfied",.1069000000
1074,2017-11-01,"MBTA Customer Opinion Panel","How would you rate the mbta overall?",983,"Extremely Dissatisfied",.0530000000,"Very Dissatisfied",.0530000000,"Somewhat Dissatisfied",.1442000000,Neutral,.0942000000,"Somewhat Satisfied",.2257000000,"Very Satisfied",.3242000000,"Extremely Satisfied",.0596000000
1075,2017-11-01,"MBTA Customer Opinion Panel","How would you rate your most recent trip?",964,"Extremely Dissatisfied",.0677000000,"Very Dissatisfied",.0677000000,"Somewhat Dissatisfied",.1029000000,Neutral,.1218000000,"Somewhat Satisfied",.1186000000,"Very Satisfied",.3880000000,"Extremely Satisfied",.1069000000
1076,2017-11-01,"MBTA Customer Opinion Panel","How likely are you to continue using the mbta in the future?",958,"Extremely Unlikely",.0683000000,"Very Unlikely",.0683000000,"Somewhat Unlikely",.0705000000,"Neither Likely nor Unlikely",.1437000000,"Somewhat Likely",.1885000000,"Very Likely",.2186000000,"Extremely Likely",.2646000000
1077,2017-11-01,"MBTA Customer Opinion Panel","How likely are you to recommend the mbta to a friend or colleague?",957,"Extremely Unlikely",.0039000000,"Very Unlikely",.0039000000,"Somewhat Unlikely",.0111000000,"Neither Likely nor Unlikely",.0331000000,"Somewhat Likely",.0454000000,"Very Likely",.2094000000,"Extremely Likely",.6936000000
1078,2017-11-01,"MBTA Customer Opinion Panel","The mbta provides reliable public transportation services.",955,"Strongly Disagree",.1507000000,Disagree,.1507000000,"Slightly Disagree",.1617000000,"Neither Agree nor Disagree",.1160000000,"Slightly Agree",.2231000000,Agree,.1772000000,"Strongly Agree",.0513000000
