survey_id,survey_date,survey_name,question_description,response_total,response_1_text,response_1_percent,response_2_text,response_2_percent,response_3_text,response_3_percent,response_4_text,response_4_percent,response_5_text,response_5_percent,response_6_text,response_6_percent,response_7_text,response_7_percent
482,2017-12-01,"MBTA Customer Opinion Panel","How would you rate the mbta overall?",868,"Extremely Dissatisfied",.0543000000,"Very Dissatisfied",.0543000000,"Somewhat Dissatisfied",.1280000000,Neutral,.0939000000,"Somewhat Satisfied",.2112000000,"Very Satisfied",.3395000000,"Extremely Satisfied",.0786000000
483,2017-12-01,"MBTA Customer Opinion Panel","How would you rate your most recent trip?",856,"Extremely Dissatisfied",.0793000000,"Very Dissatisfied",.0793000000,"Somewhat Dissatisfied",.0898000000,Neutral,.1026000000,"Somewhat Satisfied",.1406000000,"Very Satisfied",.3684000000,"Extremely Satisfied",.1280000000
484,2017-12-01,"MBTA Customer Opinion Panel","How likely are you to continue using the mbta in the future?",851,"Extremely Unlikely",.0045000000,"Very Unlikely",.0045000000,"Somewhat Unlikely",.0059000000,"Neither Likely nor Unlikely",.0332000000,"Somewhat Likely",.0611000000,"Very Likely",.2151000000,"Extremely Likely",.6743000000
485,2017-12-01,"MBTA Customer Opinion Panel","How likely are you to recommend the mbta to a friend or colleague?",852,"Extremely Unlikely",.0545000000,"Very Unlikely",.0545000000,"Somewhat Unlikely",.0580000000,"Neither Likely nor Unlikely",.1300000000,"Somewhat Likely",.1869000000,"Very Likely",.2208000000,"Extremely Likely",.2922000000
486,2017-12-01,"MBTA Customer Opinion Panel","The mbta provides reliable public transportation services.",850,"Strongly Disagree",.1471000000,Disagree,.1471000000,"Slightly Disagree",.1592000000,"Neither Agree nor Disagree",.0980000000,"Slightly Agree",.2409000000,Agree,.1903000000,"Strongly Agree",.0637999999
487,2017-12-01,"MBTA Customer Opinion Panel","The mbta is a cost-conscious organization.",847,"Strongly Disagree",.1307000000,Disagree,.1307000000,"Slightly Disagree",.1627000000,"Neither Agree nor Disagree",.2107000000,"Slightly Agree",.1597000000,Agree,.1500000000,"Strongly Agree",.0618000000
488,2017-12-01,"MBTA Customer Opinion Panel","The mbta uses technology to meet the needs and demands of its riders.",848,"Strongly Disagree",.0692000000,Disagree,.0692000000,"Slightly Disagree",.1255000000,"Neither Agree nor Disagree",.1477000000,"Slightly Agree",.2644000000,Agree,.2263000000,"Strongly Agree",.0500000000
489,2017-12-01,"MBTA Customer Opinion Panel","The mbta is a good value for the money.",849,"Strongly Disagree",.0827000000,Disagree,.0827000000,"Slightly Disagree",.1222000000,"Neither Agree nor Disagree",.1236000000,"Slightly Agree",.2040000000,Agree,.2652999999,"Strongly Agree",.1340000000
490,2017-12-01,"MBTA Customer Opinion Panel","The mbta has a fleet of trains and buses that are clean and well maintained.",848,"Strongly Disagree",.1407000000,Disagree,.1407000000,"Slightly Disagree",.1713000000,"Neither Agree nor Disagree",.1341000000,"Slightly Agree",.2203000000,Agree,.1651000000,"Strongly Agree",.0386000000
491,2017-12-01,"MBTA Customer Opinion Panel","Wait time at stop",850,Unacceptable,.0781000000,"Very Poor",.0781000000,Poor,.0926000000,Fair,.1220000000,Good,.1059000000,"Very Good",.2898000000,Excellent,.2377000000
492,2017-12-01,"MBTA Customer Opinion Panel","Stop condition &amp; cleanliness",839,Unacceptable,.0362000000,"Very Poor",.0362000000,Poor,.1050000000,Fair,.1469000000,Good,.1423000000,"Very Good",.3592000000,Excellent,.1403000000
493,2017-12-01,"MBTA Customer Opinion Panel","Vehicle crowdedness",851,Unacceptable,.0994000000,"Very Poor",.0994000000,Poor,.0945000000,Fair,.1012000000,Good,.1241000000,"Very Good",.3272000000,Excellent,.2003000000
494,2017-12-01,"MBTA Customer Opinion Panel","Vehicle cleanliness",853,Unacceptable,.0334000000,"Very Poor",.0334000000,Poor,.0778000000,Fair,.1692000000,Good,.1353000000,"Very Good",.3690000000,Excellent,.1553000000
495,2017-12-01,"MBTA Customer Opinion Panel","Speed/travel time",851,Unacceptable,.0798000000,"Very Poor",.0798000000,Poor,.0800000000,Fair,.1188000000,Good,.1423000000,"Very Good",.3346000000,Excellent,.1806000000
496,2017-12-01,"MBTA Customer Opinion Panel","Parking availability",270,Unacceptable,.1110000000,"Very Poor",.1110000000,Poor,.0368000000,Fair,.2545000000,Good,.0979000000,"Very Good",.2233000000,Excellent,.2098000000
