,date,ridership,train_line,Vehicle crowdedness
1,2016-02-01,1220639.235535,Blue Line,3.5872
2,2016-02-01,3752288.5365029,Green Line,
3,2016-02-01,4379649.0899268,Orange Line,
4,2016-02-01,5132032.1399213,Red Line,
5,2016-03-01,1510118.4141304,Blue Line,3.4033
6,2016-03-01,4387767.8074969,Green Line,
7,2016-03-01,5121815.808271,Orange Line,
8,2016-03-01,6047058.2463706,Red Line,
9,2016-04-01,1511914.6300515,Blue Line,3.7035
10,2016-04-01,4223658.3165492,Green Line,
11,2016-04-01,4680719.2647063,Orange Line,
12,2016-04-01,5573282.2212157,Red Line,
13,2016-05-01,1518062.6139293,Blue Line,3.7918
14,2016-05-01,3933571.326164,Green Line,
15,2016-05-01,4628636.3103883,Orange Line,
16,2016-05-01,5546573.3373487,Red Line,
17,2016-06-01,1660877.0057384,Blue Line,3.6934
18,2016-06-01,4144063.02731,Green Line,
19,2016-06-01,4860702.6871558,Orange Line,
20,2016-06-01,5881456.1115131,Red Line,
21,2016-07-01,1509610.2448804,Blue Line,3.6767
22,2016-07-01,3721467.7775537,Green Line,
23,2016-07-01,4233094.8607831,Orange Line,
24,2016-07-01,5270208.4405326,Red Line,
25,2016-08-01,1666468.1085008,Blue Line,3.6372
26,2016-08-01,4003896.5416921,Green Line,
27,2016-08-01,4692482.1816945,Orange Line,
28,2016-08-01,5774631.6592367,Red Line,
29,2016-09-01,1576200.7998119,Blue Line,3.6067
30,2016-09-01,4076521.1035681,Green Line,
31,2016-09-01,4702395.0904202,Orange Line,
32,2016-09-01,5702668.0359234,Red Line,
33,2016-10-01,1550148.8191329,Blue Line,3.4829
34,2016-10-01,4029136.1528586,Green Line,
35,2016-10-01,4651161.4137907,Orange Line,
36,2016-10-01,5657270.9900785,Red Line,
37,2016-11-01,1486292.5532415,Blue Line,3.6726
38,2016-11-01,3831723.2520156,Green Line,
39,2016-11-01,4497805.0577321,Orange Line,
40,2016-11-01,5413230.6439936,Red Line,
41,2016-12-01,1399861.3674767,Blue Line,3.4655
42,2016-12-01,3497594.2688853,Green Line,
43,2016-12-01,4145175.3972881,Orange Line,
44,2016-12-01,4944886.4742658,Red Line,
45,2017-01-01,1333203.4332203,Blue Line,3.4714
46,2017-01-01,3368738.009044,Green Line,
47,2017-01-01,4153220.5686644,Orange Line,
48,2017-01-01,4935365.672039,Red Line,
49,2017-02-01,1253563.7581629,Blue Line,3.5772
50,2017-02-01,3335245.8862955,Green Line,
51,2017-02-01,3887140.8781468,Orange Line,
52,2017-02-01,4696803.3318979,Red Line,
